ds,y
1990-1-21 16:0:0,172.77
1990-1-21 17:0:0,171.08
1990-1-21 18:0:0,173.44
1990-1-21 19:0:0,172.2
1990-1-21 20:0:0,170.65
1990-1-21 21:0:0,166.75
1990-1-21 22:0:0,164.57
1990-1-21 23:0:0,158.1
1990-1-22 0:0:0,148.09
1990-1-22 1:0:0,143.21
1990-1-22 2:0:0,143.74
1990-1-22 3:0:0,141.99
1990-1-22 4:0:0,145.45
1990-1-22 5:0:0,150.02
1990-1-22 6:0:0,168.66
1990-1-22 7:0:0,191.04
1990-1-22 8:0:0,196.15
1990-1-22 9:0:0,201.96
1990-1-22 10:0:0,209.02
1990-1-22 11:0:0,205.32
1990-1-22 12:0:0,201.07
1990-1-22 13:0:0,198.49
1990-1-22 14:0:0,193.79
1990-1-22 15:0:0,185.38
1990-1-22 16:0:0,175.99
1990-1-22 17:0:0,176.84
1990-1-22 18:0:0,187.38
1990-1-22 19:0:0,178.93
1990-1-22 20:0:0,178.45
1990-1-22 21:0:0,172.59
1990-1-22 22:0:0,166.97
1990-1-22 23:0:0,159.61
1990-1-23 0:0:0,146.2
1990-1-23 1:0:0,144.67
1990-1-23 2:0:0,144.86
1990-1-23 3:0:0,143.62
1990-1-23 4:0:0,146.3
1990-1-23 5:0:0,153.95
1990-1-23 6:0:0,167.32
1990-1-23 7:0:0,192.89
1990-1-23 8:0:0,215.6
1990-1-23 9:0:0,215.29
1990-1-23 10:0:0,211.71
1990-1-23 11:0:0,201.56
1990-1-23 12:0:0,193.89
1990-1-23 13:0:0,188.82
1990-1-23 14:0:0,188.74
1990-1-23 15:0:0,187.93
1990-1-23 16:0:0,184.85
1990-1-23 17:0:0,187.13
1990-1-23 18:0:0,188.56
1990-1-23 19:0:0,184.65
1990-1-23 20:0:0,183.39
1990-1-23 21:0:0,179.14
1990-1-23 22:0:0,170.76
1990-1-23 23:0:0,162.03
1990-1-24 0:0:0,150.72
1990-1-24 1:0:0,144.63
1990-1-24 2:0:0,140.65
1990-1-24 3:0:0,144.69
1990-1-24 4:0:0,152.99
1990-1-24 5:0:0,166.34
1990-1-24 6:0:0,193.95
1990-1-24 7:0:0,218.89
1990-1-24 8:0:0,223.27
1990-1-24 9:0:0,234.09
1990-1-24 10:0:0,233.03
1990-1-24 11:0:0,229.96
1990-1-24 12:0:0,221.35
1990-1-24 13:0:0,203.92
1990-1-24 14:0:0,201.13
1990-1-24 15:0:0,198.61
1990-1-24 16:0:0,209.6
1990-1-24 17:0:0,214.21
1990-1-24 18:0:0,216.76
1990-1-24 19:0:0,216.61
1990-1-24 20:0:0,207.44
1990-1-24 21:0:0,200.64
1990-1-24 22:0:0,186.65
1990-1-24 23:0:0,174.54
1990-1-25 0:0:0,167.89
1990-1-25 1:0:0,150
1990-1-25 2:0:0,153.01
1990-1-25 3:0:0,158.55
1990-1-25 4:0:0,162.56
1990-1-25 5:0:0,173.89
1990-1-25 6:0:0,203.53
1990-1-25 7:0:0,215.76
1990-1-25 8:0:0,223.39
1990-1-25 9:0:0,226.12
1990-1-25 10:0:0,221.7
1990-1-25 11:0:0,215.11
1990-1-25 12:0:0,212.28
1990-1-25 13:0:0,210.45
1990-1-25 14:0:0,207.8
1990-1-25 15:0:0,207.89
1990-1-25 16:0:0,215.86
1990-1-25 17:0:0,215.31
1990-1-25 18:0:0,212.5
1990-1-25 19:0:0,184.59
1990-1-25 20:0:0,172
1990-1-25 21:0:0,166.59
1990-1-25 22:0:0,165.32
1990-1-25 23:0:0,166.52
1990-1-25 0:0:0,158.26
1990-1-26 1:0:0,160.12
1990-1-26 2:0:0,157.37
1990-1-26 3:0:0,160.12
1990-1-26 4:0:0,172.99
1990-1-26 5:0:0,180
1990-1-26 6:0:0,209.03
1990-1-26 7:0:0,221.8
1990-1-26 8:0:0,223.7
1990-1-26 9:0:0,223.57
1990-1-26 10:0:0,222.1
1990-1-26 11:0:0,217.57
